packed_key,from_node_id,to_node_id,stage2_anchor_source,period,qvdf_start_speed_mph,qvdf_end_speed_mph,boundary_status
463856488182,108,20214,stage1_assignment_speed_mph,PM,28.9764,28.9783,both
463856488752,108,20784,stage1_assignment_speed_mph,PM,28.9991,28.9991,both
463856489447,108,21479,stage1_assignment_speed_mph,PM,28.9862,28.9859,both
463856489448,108,21480,stage1_assignment_speed_mph,PM,28.97895,28.9811,both
463856491476,108,23508,stage1_assignment_speed_mph,PM,28.97495,28.9759,both
468151456055,109,20791,stage1_assignment_speed_mph,PM,28.98705,28.9882,both
468151456743,109,21479,stage1_assignment_speed_mph,PM,28.9982,28.9983,both
472446422774,110,20214,stage1_assignment_speed_mph,PM,29.0,29.0,both
472446423363,110,20803,stage1_assignment_speed_mph,PM,29.0,29.0,both
476741390708,111,20852,stage1_assignment_speed_mph,PM,16.9887,16.9886,both
476741390711,111,20855,stage1_assignment_speed_mph,PM,16.99435,16.9898,both
476741391289,111,21433,stage1_assignment_speed_mph,PM,16.9773,16.9719,both
476741391293,111,21437,stage1_assignment_speed_mph,PM,16.98475,16.9826,both
481036357951,112,20799,stage1_assignment_speed_mph,PM,16.99535,16.9942,both
481036358595,112,21443,stage1_assignment_speed_mph,PM,16.99995,17.0,both
481036358596,112,21444,stage1_assignment_speed_mph,PM,16.98735,16.9846,both
485331324448,113,20000,stage1_assignment_speed_mph,PM,16.98945,16.9869,both
485331325304,113,20856,stage1_assignment_speed_mph,PM,16.9626,16.9542,both
